epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,155.568,1.3863,1.85927,0.97156,1.17975,0,0.90564,0.66667,0.74912,0.38035,0.71375,0.6,0.69219,0.32379,1.80352,2.66516,1.23152,1.40837,0,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585
53,158.672,1.40456,1.76831,0.94508,1.20847,0,0.82973,0.65082,0.70749,0.28832,0.71534,0.53333,0.58057,0.27314,1.91588,2.60926,1.44946,1.48013,0,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142,0.003426,0.001142
54,161.417,1.35511,1.85207,0.92065,1.18909,0,0.77234,0.66667,0.70808,0.28214,0.77969,0.70896,0.69549,0.26632,2.06846,2.75254,1.39095,1.58538,0,0.0033765,0.0011255,0.0033765,0.0011255,0.0033765,0.0011255,0.0033765,0.0011255
55,164.191,1.31174,1.76549,0.89468,1.13861,0,0.62824,0.8,0.71753,0.2931,0.61251,0.66667,0.66098,0.26043,2.00566,2.72666,1.42006,1.57517,0,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
56,167.024,1.34375,1.73048,0.92259,1.17552,0,0.83257,0.6,0.72737,0.35658,0.90749,0.65494,0.71977,0.26485,1.92841,3.00362,1.23711,1.57152,0,0.0032775,0.0010925,0.0032775,0.0010925,0.0032775,0.0010925,0.0032775,0.0010925
57,169.716,1.32387,1.76392,0.91478,1.16496,0,0.79958,0.79804,0.80491,0.40902,0.87732,0.66667,0.73611,0.33514,1.85072,2.89376,1.1231,1.49538,0,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076,0.003228,0.001076
58,172.977,1.34636,1.73789,0.89554,1.1832,0,0.91447,0.714,0.80573,0.39538,0.89373,0.66667,0.70886,0.36006,1.8236,2.85627,1.16459,1.45532,0,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595,0.0031785,0.0010595
59,176.083,1.30087,1.72224,0.82352,1.11738,0,0.88325,0.73333,0.75435,0.37998,0.78324,0.66667,0.69025,0.3436,1.84521,2.99295,1.24367,1.51279,0,0.003129,0.001043,0.003129,0.001043,0.003129,0.001043,0.003129,0.001043
60,178.925,1.21251,1.67045,0.8179,1.11622,0,0.79338,0.7691,0.74785,0.36632,0.65217,0.62606,0.66837,0.32319,1.94343,2.80726,1.25853,1.59418,0,0.0030795,0.0010265,0.0030795,0.0010265,0.0030795,0.0010265,0.0030795,0.0010265
61,181.697,1.26856,1.74763,0.85213,1.13982,0,0.92815,0.86155,0.82752,0.37458,0.84427,0.72352,0.71261,0.32921,1.92317,2.78608,1.25786,1.57392,0,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
62,184.413,1.32117,1.72809,0.85056,1.15416,0,0.92246,0.79354,0.80311,0.33355,0.76805,0.66259,0.66397,0.27707,2.03436,3.12724,1.252,1.65587,0,0.0029805,0.0009935,0.0029805,0.0009935,0.0029805,0.0009935,0.0029805,0.0009935
63,187.182,1.33516,1.68934,0.87265,1.18991,0,0.74797,0.73333,0.7362,0.34286,0.7425,0.53333,0.63532,0.29368,1.84663,2.99371,1.31282,1.50732,0,0.002931,0.000977,0.002931,0.000977,0.002931,0.000977,0.002931,0.000977
